Name,Type,Regular price,Description,Short description,Categories,SKU,Images
iPhone,simple,105,"iPhone được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","iPhone chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Điện thoại,SKU1001,anh-bia-2-4299.jpg
Samsung Galaxy,simple,110,"Samsung Galaxy được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","Samsung Galaxy chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Điện thoại,SKU1002,anh-bia-2-4299.jpg
Xiaomi,simple,115,"Xiaomi được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","Xiaomi chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Điện thoại,SKU1003,anh-bia-2-4299.jpg
OPPO,simple,120,"OPPO được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","OPPO chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Điện thoại,SKU1004,anh-bia-2-4299.jpg
Vivo,simple,125,"Vivo được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","Vivo chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Điện thoại,SKU1005,anh-bia-2-4299.jpg
Realme,simple,130,"Realme được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","Realme chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Điện thoại,SKU1006,anh-bia-2-4299.jpg
Nokia,simple,135,"Nokia được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","Nokia chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Điện thoại,SKU1007,anh-bia-2-4299.jpg
Google Pixel,simple,140,"Google Pixel được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","Google Pixel chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Điện thoại,SKU1008,anh-bia-2-4299.jpg
Huawei,simple,145,"Huawei được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","Huawei chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Điện thoại,SKU1009,anh-bia-2-4299.jpg
Honor,simple,150,"Honor được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","Honor chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Điện thoại,SKU1010,anh-bia-2-4299.jpg
ASUS Zenfone,simple,155,"ASUS Zenfone được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","ASUS Zenfone chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Điện thoại,SKU1011,anh-bia-2-4299.jpg
Sony Xperia,simple,160,"Sony Xperia được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","Sony Xperia chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Điện thoại,SKU1012,anh-bia-2-4299.jpg
Lenovo,simple,165,"Lenovo được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","Lenovo chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Điện thoại,SKU1013,anh-bia-2-4299.jpg
Meizu,simple,170,"Meizu được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","Meizu chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Điện thoại,SKU1014,anh-bia-2-4299.jpg
ZTE,simple,175,"ZTE được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","ZTE chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Điện thoại,SKU1015,anh-bia-2-4299.jpg
OnePlus,simple,180,"OnePlus được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","OnePlus chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Điện thoại,SKU1016,anh-bia-2-4299.jpg
Tecno,simple,185,"Tecno được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","Tecno chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Điện thoại,SKU1017,anh-bia-2-4299.jpg
Infinix,simple,190,"Infinix được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","Infinix chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Điện thoại,SKU1018,anh-bia-2-4299.jpg
Itel,simple,195,"Itel được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","Itel chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Điện thoại,SKU1019,anh-bia-2-4299.jpg
Motorola,simple,200,"Motorola được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","Motorola chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Điện thoại,SKU1020,anh-bia-2-4299.jpg
Laptop Dell,simple,105,"Laptop Dell được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","Laptop Dell chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Laptop,SKU1021,R (1).jpg
Laptop HP,simple,110,"Laptop HP được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","Laptop HP chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Laptop,SKU1022,R (1).jpg
Laptop Lenovo,simple,115,"Laptop Lenovo được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","Laptop Lenovo chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Laptop,SKU1023,R (1).jpg
Laptop ASUS,simple,120,"Laptop ASUS được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","Laptop ASUS chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Laptop,SKU1024,R (1).jpg
Laptop Acer,simple,125,"Laptop Acer được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","Laptop Acer chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Laptop,SKU1025,R (1).jpg
Laptop MSI,simple,130,"Laptop MSI được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","Laptop MSI chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Laptop,SKU1026,R (1).jpg
Laptop Apple MacBook,simple,135,"Laptop Apple MacBook được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","Laptop Apple MacBook chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Laptop,SKU1027,R (1).jpg
Laptop Samsung,simple,140,"Laptop Samsung được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","Laptop Samsung chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Laptop,SKU1028,R (1).jpg
Laptop LG Gram,simple,145,"Laptop LG Gram được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","Laptop LG Gram chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Laptop,SKU1029,R (1).jpg
Laptop Huawei,simple,150,"Laptop Huawei được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","Laptop Huawei chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Laptop,SKU1030,R (1).jpg
Laptop Microsoft Surface,simple,155,"Laptop Microsoft Surface được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","Laptop Microsoft Surface chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Laptop,SKU1031,R (1).jpg
Laptop Gigabyte,simple,160,"Laptop Gigabyte được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","Laptop Gigabyte chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Laptop,SKU1032,R (1).jpg
Laptop Razer,simple,165,"Laptop Razer được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","Laptop Razer chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Laptop,SKU1033,R (1).jpg
Laptop Toshiba,simple,170,"Laptop Toshiba được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","Laptop Toshiba chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Laptop,SKU1034,R (1).jpg
Laptop Fujitsu,simple,175,"Laptop Fujitsu được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","Laptop Fujitsu chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Laptop,SKU1035,R (1).jpg
Laptop Vaio,simple,180,"Laptop Vaio được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","Laptop Vaio chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Laptop,SKU1036,R (1).jpg
Laptop Chuwi,simple,185,"Laptop Chuwi được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","Laptop Chuwi chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Laptop,SKU1037,R (1).jpg
Laptop Xiaomi,simple,190,"Laptop Xiaomi được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","Laptop Xiaomi chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Laptop,SKU1038,R (1).jpg
